match,bowlingTeam,bowlerName,overs,maiden,runsConceded,wickets,economy,dotBalls,4s_Conceded,6s_Conceded,wides,noBalls,Match_Id,bowling_avg,bowling_sr,bowling_ecn,total_bowl_innings,total_wickets
Papua New Guinea Vs West Indies,Papua New Guinea,Chad Soper,3.0,0,19,1,6.33,8,2,0,0,0,T20I # 2633,32.5,30.5,6.44,4.0,2.0
Papua New Guinea Vs West Indies,Papua New Guinea,Sese Bau,1.0,0,18,0,18.0,1,1,2,0,0,T20I # 2633,0.0,0.0,18.0,1.0,0.0
Papua New Guinea Vs West Indies,Papua New Guinea,John Kariko,4.0,0,17,1,4.25,15,0,1,0,0,T20I # 2633,50.0,66.0,4.55,3.0,1.0
Papua New Guinea Vs West Indies,Papua New Guinea,Assad Vala,4.0,1,28,2,7.0,11,3,1,0,0,T20I # 2633,14.0,14.0,6.0,3.0,3.0
Papua New Guinea Vs West Indies,Papua New Guinea,Charles Amini,2.0,0,14,0,7.0,3,0,1,0,0,T20I # 2633,0.0,0.0,6.56,3.0,0.0
Canada Vs United States of America,United States of America,Ali Khan,4.0,0,41,1,10.25,11,5,2,2,0,T20I # 2632,60.33,38.67,9.43,6.0,3.0
Canada Vs United States of America,United States of America,Saurabh Netravalkar,2.0,0,16,0,8.0,3,2,0,0,0,T20I # 2632,20.83,18.83,6.76,6.0,6.0
Canada Vs United States of America,United States of America,Harmeet Singh,4.0,0,27,1,6.75,11,3,1,0,0,T20I # 2632,34.75,24.0,8.69,5.0,4.0
Canada Vs United States of America,United States of America,Jasdeep Singh,3.0,0,24,0,8.0,7,4,0,0,0,T20I # 2632,121.0,72.0,10.08,4.0,1.0
Canada Vs United States of America,United States of America,Shadley van Schalkwyk,3.0,0,34,0,11.33,1,1,2,0,0,T20I # 2632,0.0,0.0,9.9,4.0,0.0
Canada Vs United States of America,United States of America,Steven Taylor,1.0,0,15,0,15.0,1,0,2,0,0,T20I # 2632,0.0,0.0,12.0,2.0,0.0
Canada Vs United States of America,United States of America,Corey Anderson,3.0,0,29,1,9.66,4,2,1,0,0,T20I # 2632,69.0,48.0,8.62,4.0,1.0
Canada Vs United States of America,Canada,Kaleem Sana,4.0,0,34,1,8.5,9,4,0,3,0,T20I # 2632,93.0,66.0,8.45,3.0,1.0
Canada Vs United States of America,Canada,Jeremy Gordon,3.0,0,44,0,14.66,7,4,3,3,2,T20I # 2632,25.67,21.0,7.48,3.0,3.0
Canada Vs United States of America,Canada,Dilon Heyliger,3.0,0,19,1,6.33,9,0,1,2,0,T20I # 2632,11.0,13.2,5.0,3.0,5.0
Canada Vs United States of America,Canada,Saad Bin Zafar,4.0,0,42,0,10.5,9,2,4,0,0,T20I # 2632,87.0,72.0,7.25,3.0,1.0
Canada Vs United States of America,Canada,Nikhil Dutta,2.4,0,41,1,15.37,5,2,4,2,1,T20I # 2632,41.0,16.0,17.08,1.0,1.0
Canada Vs United States of America,Canada,Pargat Singh,1.0,0,15,0,15.0,0,1,1,0,0,T20I # 2632,0.0,0.0,15.0,1.0,0.0
Scotland Vs England,England,Mark Wood,2.0,0,11,0,5.5,7,1,0,1,1,T20I # 2637,37.67,26.0,8.69,5.0,3.0
Scotland Vs England,England,Jofra Archer,2.0,0,12,0,6.0,6,1,0,0,0,T20I # 2637,19.0,15.8,7.25,8.0,10.0
Scotland Vs England,England,Adil Rashid,2.0,0,26,0,13.0,2,2,2,0,0,T20I # 2637,18.6,16.8,6.64,8.0,10.0
Scotland Vs England,England,Moeen Ali,2.0,0,15,0,7.5,3,2,0,0,0,T20I # 2637,24.33,18.0,8.11,4.0,3.0
Scotland Vs England,England,Chris Jordan,2.0,0,24,0,12.0,5,2,2,0,0,T20I # 2637,13.4,8.3,9.93,5.0,10.0
