match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,Match_Id,batting_avg,batting_sr,runs % by boundary,avg_balls_faced,majorityPosition,total_bat_innings,total_runs
Australia Vs Oman,Australia,1,David Warner,56,51,6,1,109.8,out,T20I # 2641,29.67,139.06,68.54,18.0,1,7,178
Australia Vs Oman,Australia,2,Travis Head,12,10,2,0,120.0,out,T20I # 2641,42.5,158.39,76.08,23.0,2,7,255
Australia Vs Oman,Australia,3,Mitchell Marsh,14,21,2,0,66.66,out,T20I # 2641,20.83,116.82,65.6,15.0,3,7,125
Australia Vs Oman,Australia,4,Glenn Maxwell,0,1,0,0,0.0,out,T20I # 2641,26.4,141.94,68.18,16.0,4,6,132
Australia Vs Oman,Australia,5,Marcus Stoinis,67,36,2,6,186.11,not out,T20I # 2641,42.25,164.08,68.64,21.0,5,5,169
Australia Vs Oman,Australia,6,Tim David,9,4,2,0,225.0,out,T20I # 2641,15.25,148.78,62.3,8.0,6,5,61
Australia Vs Oman,Oman,1,Kashyap Prajapati,7,16,1,0,43.75,out,T20I # 2641,5.33,48.48,62.5,11.0,1,3,16
Australia Vs Oman,Oman,2,Pratik Athavale,0,1,0,0,0.0,out,T20I # 2641,19.67,134.09,61.02,15.0,1,3,59
Australia Vs Oman,Oman,3,Aqib Ilyas,18,18,2,1,100.0,out,T20I # 2641,10.5,120.0,76.19,9.0,3,4,42
Australia Vs Oman,Oman,4,Zeeshan Maqsood,1,7,0,0,14.28,out,T20I # 2641,6.75,75.0,59.26,9.0,4,4,27
Australia Vs Oman,Oman,5,Khalid Kail,8,12,1,0,66.66,out,T20I # 2641,12.0,78.69,29.17,15.0,5,4,48
Australia Vs Oman,Oman,6,Ayaan Khan,36,30,2,2,120.0,out,T20I # 2641,31.0,97.89,45.16,24.0,6,4,93
Australia Vs Oman,Oman,7,Shoaib Khan,0,4,0,0,0.0,out,T20I # 2641,5.5,40.74,36.36,14.0,7,2,11
Australia Vs Oman,Oman,8,Mehran Khan,27,16,1,2,168.75,out,T20I # 2641,11.75,130.56,59.57,9.0,8,4,47
Australia Vs Oman,Oman,9,Shakeel Ahmed,11,10,1,0,110.0,out,T20I # 2641,12.5,119.05,48.0,7.0,9,3,25
Australia Vs Oman,Oman,10,Kaleemullah,6,4,0,0,150.0,not out,T20I # 2641,6.5,108.33,30.77,4.0,10,3,13
Australia Vs Oman,Oman,11,Bilal Khan,1,2,0,0,50.0,not out,T20I # 2641,2.0,50.0,0.0,1.0,11,3,2
Papua New Guinea Vs Uganda,Papua New Guinea,1,Assad Vala,0,2,0,0,0.0,out,T20I # 2640,7.5,71.43,60.0,10.0,2,4,30
Papua New Guinea Vs Uganda,Papua New Guinea,2,Tony Ura,2,6,0,0,33.33,out,T20I # 2640,4.0,51.61,25.0,8.0,1,4,16
Papua New Guinea Vs Uganda,Papua New Guinea,3,Sese Bau,5,9,1,0,55.55,out,T20I # 2640,16.75,83.75,56.72,20.0,4,4,67
Papua New Guinea Vs Uganda,Papua New Guinea,4,Lega Siaka,12,17,1,0,70.58,out,T20I # 2640,4.33,65.0,30.77,7.0,3,3,13
Papua New Guinea Vs Uganda,Papua New Guinea,5,Hiri Hiri,15,19,2,0,78.94,out,T20I # 2640,6.25,64.1,48.0,10.0,5,4,25
Papua New Guinea Vs Uganda,Papua New Guinea,6,Charles Amini,5,14,0,0,35.71,out,T20I # 2640,11.33,64.15,23.53,18.0,6,3,34
Papua New Guinea Vs Uganda,Papua New Guinea,7,Kiplin Doriga,12,20,0,1,60.0,out,T20I # 2640,23.67,92.21,42.25,19.0,7,4,71
Papua New Guinea Vs Uganda,Papua New Guinea,8,Chad Soper,4,11,0,0,36.36,out,T20I # 2640,6.0,46.15,16.67,13.0,6,4,24
Papua New Guinea Vs Uganda,Papua New Guinea,9,Norman Vanua,5,10,0,0,50.0,out,T20I # 2640,6.33,63.33,52.63,10.0,8,3,19
Papua New Guinea Vs Uganda,Papua New Guinea,10,Alei Nao,5,6,0,0,83.33,out,T20I # 2640,5.25,65.62,38.1,8.0,9,4,21
Papua New Guinea Vs Uganda,Papua New Guinea,11,John Kariko,0,2,0,0,0.0,not out,T20I # 2640,4.0,44.44,100.0,4.0,10,2,4
Papua New Guinea Vs Uganda,Uganda,1,Roger Mukasa,0,3,0,0,0.0,out,T20I # 2640,0.0,0.0,0.0,2.0,1,3,0
Papua New Guinea Vs Uganda,Uganda,2,Simon Ssesazi,1,3,0,0,33.33,out,T20I # 2640,2.25,81.82,88.89,3.0,2,4,9
Papua New Guinea Vs Uganda,Uganda,3,Robinson Obuya,1,2,0,0,50.0,out,T20I # 2640,5.25,58.33,47.62,9.0,3,4,21
Papua New Guinea Vs Uganda,Uganda,4,Riazat Ali Shah,33,56,1,0,58.92,out,T20I # 2640,12.25,44.14,8.16,28.0,4,4,49
Papua New Guinea Vs Uganda,Uganda,5,Alpesh Ramjani,8,10,1,0,80.0,out,T20I # 2640,3.25,54.17,61.54,6.0,4,4,13
Papua New Guinea Vs Uganda,Uganda,6,Dinesh Nakrani,0,3,0,0,0.0,out,T20I # 2640,2.5,38.46,40.0,6.0,7,4,10
Papua New Guinea Vs Uganda,Uganda,7,Juma Miyagi,13,16,0,0,81.25,out,T20I # 2640,13.0,70.27,0.0,12.0,7,3,26
Papua New Guinea Vs Uganda,Uganda,8,Kenneth Waiswa,7,16,0,0,43.75,not out,T20I # 2640,9.5,43.18,42.11,15.0,5,3,19
Papua New Guinea Vs Uganda,Uganda,9,Brian Masaba,0,1,0,0,0.0,not out,T20I # 2640,2.0,15.38,0.0,6.0,8,4,4
Ireland Vs India,Ireland,1,Andy Balbirnie,5,10,1,0,50.0,out,T20I # 2639,7.33,68.75,36.36,11.0,1,3,22
Ireland Vs India,Ireland,2,Paul Stirling,2,6,0,0,33.33,out,T20I # 2639,4.0,48.0,33.33,8.0,2,3,12
Ireland Vs India,Ireland,3,Lorcan Tucker,10,13,2,0,76.92,out,T20I # 2639,7.33,73.33,36.36,10.0,3,3,22
Ireland Vs India,Ireland,4,Harry Tector,4,16,0,0,25.0,out,T20I # 2639,3.67,40.74,0.0,9.0,4,3,11
Ireland Vs India,Ireland,5,Curtis Campher,12,8,1,1,150.0,out,T20I # 2639,7.67,79.31,60.87,10.0,5,3,23
Ireland Vs India,Ireland,6,George Dockrell,3,5,0,0,60.0,out,T20I # 2639,22.0,115.79,50.0,13.0,6,3,44
Ireland Vs India,Ireland,7,Gareth Delany,26,14,2,2,185.71,out,T20I # 2639,20.0,150.0,70.0,13.0,7,3,60
Ireland Vs India,Ireland,8,Mark Adair,3,2,0,0,150.0,out,T20I # 2639,17.33,115.56,50.0,15.0,8,3,52
Ireland Vs India,Ireland,9,Barry McCarthy,0,6,0,0,0.0,out,T20I # 2639,2.0,25.0,0.0,5.0,9,3,4
Ireland Vs India,Ireland,10,Josh Little,14,13,2,0,107.69,out,T20I # 2639,36.0,116.13,61.11,16.0,10,2,36
Ireland Vs India,Ireland,11,Ben White,2,4,0,0,50.0,not out,T20I # 2639,7.0,29.17,0.0,12.0,11,2,7
Ireland Vs India,India,1,Rohit Sharma,52,37,4,3,140.54,not out,T20I # 2639,36.71,156.71,72.37,20.0,1,8,257
Ireland Vs India,India,2,Virat Kohli,1,5,0,0,20.0,out,T20I # 2639,18.88,112.69,49.01,17.0,2,8,151
Ireland Vs India,India,3,Rishabh Pant,36,26,3,2,138.46,not out,T20I # 2639,24.43,127.61,65.5,17.0,3,8,171
Ireland Vs India,India,4,Suryakumar Yadav,2,4,0,0,50.0,out,T20I # 2639,28.43,135.37,60.3,18.0,4,8,199
Ireland Vs India,India,5,Shivam Dube,0,2,0,0,0.0,not out,T20I # 2639,22.17,114.66,49.62,14.0,5,8,133
Nepal Vs Netherlands,Nepal,1,Kushal Bhurtel,7,10,1,0,70.0,out,T20I # 2638,8.0,61.54,75.0,13.0,1,3,24
Nepal Vs Netherlands,Nepal,2,Aasif Sheikh,4,8,1,0,50.0,out,T20I # 2638,21.0,88.73,66.67,24.0,2,3,63
Nepal Vs Netherlands,Nepal,3,Anil Sah,11,12,2,0,91.66,out,T20I # 2638,12.67,100.0,68.42,13.0,3,3,38
Nepal Vs Netherlands,Nepal,4,Rohit Paudel,35,37,5,0,94.59,out,T20I # 2638,12.0,80.0,55.56,15.0,4,3,36
Nepal Vs Netherlands,Nepal,5,Kushal Malla,9,9,1,0,100.0,out,T20I # 2638,12.33,71.15,37.84,17.0,6,3,37
Nepal Vs Netherlands,Nepal,6,Dipendra Singh Airee,1,6,0,0,16.66,out,T20I # 2638,10.67,66.67,43.75,16.0,7,3,32
Nepal Vs Netherlands,Nepal,7,Sompal Kami,0,5,0,0,0.0,out,T20I # 2638,4.0,72.73,75.0,4.0,9,3,8
Nepal Vs Netherlands,Nepal,8,Gulsan Jha,14,15,0,1,93.33,out,T20I # 2638,6.67,80.0,50.0,8.0,8,3,20
Nepal Vs Netherlands,Nepal,9,Karan KC,17,12,0,2,141.66,out,T20I # 2638,17.0,141.67,70.59,12.0,9,1,17
Nepal Vs Netherlands,Nepal,10,Sagar Dhakal,0,1,0,0,0.0,not out,T20I # 2638,0.0,0.0,0.0,1.0,10,1,0
Nepal Vs Netherlands,Nepal,11,Abinash Bohara,0,1,0,0,0.0,out,T20I # 2638,0.0,0.0,0.0,1.0,11,2,0
Nepal Vs Netherlands,Netherlands,1,Michael Levitt,1,3,0,0,33.33,out,T20I # 2638,12.5,111.11,80.0,11.0,1,4,50
Nepal Vs Netherlands,Netherlands,2,Max O'Dowd,54,48,4,1,112.5,not out,T20I # 2638,26.33,101.28,50.63,20.0,2,4,79
Nepal Vs Netherlands,Netherlands,3,Vikramjit Singh,22,28,4,0,78.57,out,T20I # 2638,16.75,94.37,56.72,18.0,3,4,67
Nepal Vs Netherlands,Netherlands,4,Sybrand Engelbrecht,14,16,1,0,87.5,out,T20I # 2638,24.5,106.52,42.86,23.0,4,4,98
Nepal Vs Netherlands,Netherlands,5,Scott Edwards,5,8,0,0,62.5,out,T20I # 2638,17.75,110.94,45.07,16.0,5,4,71
Nepal Vs Netherlands,Netherlands,6,Bas de Leede,11,10,1,0,110.0,not out,T20I # 2638,6.67,60.61,20.0,8.0,6,4,20
Afghanistan Vs Uganda,Afghanistan,1,Rahmanullah Gurbaz,76,45,4,4,168.88,out,T20I # 2636,35.12,124.34,59.79,28.0,1,8,281
Afghanistan Vs Uganda,Afghanistan,2,Ibrahim Zadran,70,46,9,1,152.17,out,T20I # 2636,28.88,107.44,53.68,27.0,2,8,231
Afghanistan Vs Uganda,Afghanistan,3,Najibullah Zadran,2,3,0,0,66.66,out,T20I # 2636,7.33,95.65,54.55,6.0,5,4,22
Afghanistan Vs Uganda,Afghanistan,4,Mohammad Nabi,14,16,0,0,87.5,not out,T20I # 2636,11.2,80.0,32.14,9.0,5,8,56
Afghanistan Vs Uganda,Afghanistan,5,Gulbadin Naib,4,5,0,0,80.0,out,T20I # 2636,12.86,104.65,60.0,11.0,3,8,90
Afghanistan Vs Uganda,Afghanistan,6,Azmatullah Omarzai,5,5,0,0,100.0,out,T20I # 2636,13.88,108.82,46.85,13.0,4,8,111
Afghanistan Vs Uganda,Afghanistan,7,Rashid Khan,2,1,0,0,200.0,not out,T20I # 2636,11.4,123.91,77.19,7.0,8,7,57
Afghanistan Vs Uganda,Uganda,1,Ronak Patel,4,2,1,0,200.0,out,T20I # 2636,3.0,27.27,66.67,11.0,1,2,6
Afghanistan Vs Uganda,Uganda,2,Simon Ssesazi,4,4,1,0,100.0,out,T20I # 2636,2.25,81.82,88.89,3.0,2,4,9
Afghanistan Vs Uganda,Uganda,3,Roger Mukasa,0,1,0,0,0.0,out,T20I # 2636,0.0,0.0,0.0,2.0,1,3,0
Afghanistan Vs Uganda,Uganda,4,Riazat Ali Shah,11,34,0,0,32.35,out,T20I # 2636,12.25,44.14,8.16,28.0,4,4,49
Afghanistan Vs Uganda,Uganda,5,Dinesh Nakrani,6,8,1,0,75.0,out,T20I # 2636,2.5,38.46,40.0,6.0,7,4,10
Afghanistan Vs Uganda,Uganda,6,Alpesh Ramjani,0,2,0,0,0.0,out,T20I # 2636,3.25,54.17,61.54,6.0,4,4,13
Afghanistan Vs Uganda,Uganda,7,Robinson Obuya,14,25,0,1,56.0,out,T20I # 2636,5.25,58.33,47.62,9.0,3,4,21
Afghanistan Vs Uganda,Uganda,8,Brian Masaba,0,1,0,0,0.0,out,T20I # 2636,2.0,15.38,0.0,6.0,8,4,4
Afghanistan Vs Uganda,Uganda,9,Bilal Hassan,8,16,1,0,50.0,out,T20I # 2636,8.0,50.0,50.0,16.0,9,1,8
Afghanistan Vs Uganda,Uganda,10,Cosmas Kyewuta,2,2,0,0,100.0,not out,T20I # 2636,2.0,28.57,0.0,5.0,10,3,4
Afghanistan Vs Uganda,Uganda,11,Henry Ssenyondo,0,1,0,0,0.0,out,T20I # 2636,0.0,0.0,0.0,1.0,11,1,0
Sri Lanka Vs South Africa,Sri Lanka,1,Pathum Nissanka,3,8,0,0,37.5,out,T20I # 2635,16.67,131.58,68.0,13.0,1,3,50
Sri Lanka Vs South Africa,Sri Lanka,2,Kusal Mendis,19,30,1,0,63.33,out,T20I # 2635,25.0,111.94,42.67,22.0,2,3,75
Sri Lanka Vs South Africa,Sri Lanka,3,Kamindu Mendis,11,15,1,0,73.33,out,T20I # 2635,10.67,80.0,56.25,13.0,3,3,32
Sri Lanka Vs South Africa,Sri Lanka,4,Wanindu Hasaranga,0,2,0,0,0.0,out,T20I # 2635,10.0,222.22,80.0,3.0,8,3,20
Sri Lanka Vs South Africa,Sri Lanka,5,Sadeera Samarawickrama,0,1,0,0,0.0,out,T20I # 2635,0.0,0.0,0.0,1.0,5,1,0
Sri Lanka Vs South Africa,Sri Lanka,6,Charith Asalanka,6,9,0,0,66.66,out,T20I # 2635,23.67,139.22,56.34,17.0,5,3,71
Sri Lanka Vs South Africa,Sri Lanka,7,Angelo Mathews,16,16,0,2,100.0,out,T20I # 2635,31.0,124.0,51.61,17.0,7,3,62
Sri Lanka Vs South Africa,Sri Lanka,8,Dasun Shanaka,9,10,0,1,90.0,out,T20I # 2635,4.0,66.67,50.0,6.0,8,3,12
Sri Lanka Vs South Africa,Sri Lanka,9,Maheesh Theekshana,7,16,1,0,43.75,not out,T20I # 2635,7.0,36.84,57.14,10.0,9,2,7
Sri Lanka Vs South Africa,Sri Lanka,10,Matheesha Pathirana,0,4,0,0,0.0,out,T20I # 2635,0.0,0.0,0.0,2.0,10,2,0
Sri Lanka Vs South Africa,Sri Lanka,11,Nuwan Thushara,0,4,0,0,0.0,out,T20I # 2635,0.0,0.0,0.0,2.0,11,2,0
Sri Lanka Vs South Africa,South Africa,1,Quinton de Kock,20,27,0,1,74.07,out,T20I # 2635,27.0,140.46,66.67,19.0,1,9,243
Sri Lanka Vs South Africa,South Africa,2,Reeza Hendricks,4,2,1,0,200.0,out,T20I # 2635,14.12,87.6,54.87,14.0,2,9,113
Sri Lanka Vs South Africa,South Africa,3,Aiden Markram,12,14,0,1,85.71,out,T20I # 2635,15.38,100.82,55.28,14.0,3,9,123
Sri Lanka Vs South Africa,South Africa,4,Tristan Stubbs,13,28,0,0,46.42,out,T20I # 2635,33.0,101.23,42.42,20.0,4,8,165
Sri Lanka Vs South Africa,South Africa,5,Heinrich Klaasen,19,22,1,1,86.36,not out,T20I # 2635,31.67,126.67,60.0,19.0,5,8,190
Sri Lanka Vs South Africa,South Africa,6,David Miller,6,6,1,0,100.0,not out,T20I # 2635,28.17,102.42,52.07,21.0,6,8,169
Oman Vs Namibia,Oman,1,Kashyap Prajapati,0,1,0,0,0.0,out,T20I # 2634,5.33,48.48,62.5,11.0,1,3,16
Oman Vs Namibia,Oman,2,Naseem Khushi,6,6,1,0,100.0,out,T20I # 2634,8.0,106.67,62.5,8.0,2,2,16
Oman Vs Namibia,Oman,3,Aqib Ilyas,0,1,0,0,0.0,out,T20I # 2634,10.5,120.0,76.19,9.0,3,4,42
Oman Vs Namibia,Oman,4,Zeeshan Maqsood,22,20,4,0,110.0,out,T20I # 2634,6.75,75.0,59.26,9.0,4,4,27
Oman Vs Namibia,Oman,5,Khalid Kail,34,39,1,1,87.17,out,T20I # 2634,12.0,78.69,29.17,15.0,5,4,48
Oman Vs Namibia,Oman,6,Ayaan Khan,15,21,0,1,71.42,out,T20I # 2634,31.0,97.89,45.16,24.0,6,4,93
Oman Vs Namibia,Oman,7,Mohammad Nadeem,6,10,0,0,60.0,out,T20I # 2634,6.0,60.0,0.0,10.0,7,1,6
Oman Vs Namibia,Oman,8,Mehran Khan,7,8,1,0,87.5,out,T20I # 2634,11.75,130.56,59.57,9.0,8,4,47
Oman Vs Namibia,Oman,9,Shakeel Ahmed,11,9,2,0,122.22,out,T20I # 2634,12.5,119.05,48.0,7.0,9,3,25
Oman Vs Namibia,Oman,10,Kaleemullah,2,3,0,0,66.66,out,T20I # 2634,6.5,108.33,30.77,4.0,10,3,13
Oman Vs Namibia,Oman,11,Bilal Khan,1,1,0,0,100.0,not out,T20I # 2634,2.0,50.0,0.0,1.0,11,3,2
Oman Vs Namibia,Namibia,1,Michael van Lingen,0,2,0,0,0.0,out,T20I # 2634,14.33,104.88,69.77,14.0,1,3,43
Oman Vs Namibia,Namibia,2,Nikolaas Davin,24,31,2,1,77.41,out,T20I # 2634,16.0,96.97,62.5,16.0,2,4,64
Oman Vs Namibia,Namibia,3,Jan Frylinck,45,48,6,0,93.75,out,T20I # 2634,19.33,85.29,55.17,23.0,3,3,58
Oman Vs Namibia,Namibia,4,Gerhard Erasmus,13,16,1,0,81.25,out,T20I # 2634,34.0,109.68,56.86,23.0,4,4,102
Oman Vs Namibia,Namibia,5,JJ Smit,8,12,1,0,66.66,out,T20I # 2634,7.33,73.33,45.45,8.0,5,4,22
Oman Vs Namibia,Namibia,6,David Wiese,9,8,0,1,112.5,not out,T20I # 2634,17.0,127.5,62.75,10.0,7,4,51
Oman Vs Namibia,Namibia,7,Zane Green,0,2,0,0,0.0,out,T20I # 2634,9.67,87.88,34.48,11.0,6,3,29
Oman Vs Namibia,Namibia,8,Malan Kruger,1,1,0,0,100.0,not out,T20I # 2634,3.0,33.33,0.0,4.0,5,2,3
Papua New Guinea Vs West Indies,Papua New Guinea,1,Tony Ura,2,5,0,0,40.0,out,T20I # 2633,4.0,51.61,25.0,8.0,1,4,16
Papua New Guinea Vs West Indies,Papua New Guinea,2,Assad Vala,21,22,2,1,95.45,out,T20I # 2633,7.5,71.43,60.0,10.0,2,4,30
Papua New Guinea Vs West Indies,Papua New Guinea,3,Lega Siaka,1,2,0,0,50.0,out,T20I # 2633,4.33,65.0,30.77,7.0,3,3,13
Papua New Guinea Vs West Indies,Papua New Guinea,4,Sese Bau,50,43,6,1,116.27,out,T20I # 2633,16.75,83.75,56.72,20.0,4,4,67
Papua New Guinea Vs West Indies,Papua New Guinea,5,Hiri Hiri,2,6,0,0,33.33,out,T20I # 2633,6.25,64.1,48.0,10.0,5,4,25
Papua New Guinea Vs West Indies,Papua New Guinea,6,Charles Amini,12,14,0,0,85.71,out,T20I # 2633,11.33,64.15,23.53,18.0,6,3,34
Papua New Guinea Vs West Indies,Papua New Guinea,7,Kiplin Doriga,27,18,3,0,150.0,not out,T20I # 2633,23.67,92.21,42.25,19.0,7,4,71
Papua New Guinea Vs West Indies,Papua New Guinea,8,Chad Soper,10,9,1,0,111.11,out,T20I # 2633,6.0,46.15,16.67,13.0,6,4,24
Papua New Guinea Vs West Indies,Papua New Guinea,9,Alei Nao,0,0,0,0,,out,T20I # 2633,5.25,65.62,38.1,8.0,9,4,21
Papua New Guinea Vs West Indies,Papua New Guinea,10,Kabua Morea,2,2,0,0,100.0,not out,T20I # 2633,2.0,40.0,0.0,2.0,10,2,2
Papua New Guinea Vs West Indies,West Indies,1,Brandon King,34,29,7,0,117.24,out,T20I # 2633,21.5,126.47,74.42,14.0,1,5,86
Papua New Guinea Vs West Indies,West Indies,2,Johnson Charles,0,1,0,0,0.0,out,T20I # 2633,23.33,113.82,64.29,20.0,2,6,140
Papua New Guinea Vs West Indies,West Indies,3,Nicholas Pooran,27,27,1,2,100.0,out,T20I # 2633,38.0,146.15,71.05,22.0,3,7,228
Papua New Guinea Vs West Indies,West Indies,4,Roston Chase,42,27,4,2,155.55,not out,T20I # 2633,47.0,130.56,55.32,24.0,4,3,94
Papua New Guinea Vs West Indies,West Indies,5,Rovman Powell,15,14,2,0,107.14,out,T20I # 2633,17.0,143.66,62.75,12.0,5,6,102
Papua New Guinea Vs West Indies,West Indies,6,Sherfane Rutherford,2,7,0,0,28.57,out,T20I # 2633,40.33,147.56,61.16,14.0,6,6,121
Papua New Guinea Vs West Indies,West Indies,7,Andre Russell,15,9,0,1,166.66,not out,T20I # 2633,26.0,165.96,71.79,8.0,6,6,78
Canada Vs United States of America,Canada,1,Aaron Johnson,23,16,5,0,143.75,out,T20I # 2632,29.67,121.92,80.9,24.0,1,3,89
Canada Vs United States of America,Canada,2,Navneet Dhaliwal,61,44,6,3,138.63,out,T20I # 2632,23.67,116.39,70.42,20.0,2,3,71
Canada Vs United States of America,Canada,3,Pargat Singh,5,7,0,0,71.42,out,T20I # 2632,8.33,92.59,32.0,9.0,3,3,25
Canada Vs United States of America,Canada,4,Nicholas Kirton,51,31,3,2,164.51,out,T20I # 2632,33.67,140.28,47.52,24.0,4,3,101
Canada Vs United States of America,Canada,5,Shreyas Movva,32,16,2,2,200.0,not out,T20I # 2632,35.5,116.39,45.07,20.0,5,3,71
Canada Vs United States of America,Canada,6,Dilpreet Bajwa,11,5,1,1,220.0,out,T20I # 2632,9.0,128.57,77.78,7.0,6,2,18
Canada Vs United States of America,Canada,7,Dilon Heyliger,1,1,0,0,100.0,not out,T20I # 2632,10.0,71.43,40.0,5.0,7,3,10
Canada Vs United States of America,United States of America,1,Steven Taylor,0,2,0,0,0.0,out,T20I # 2632,12.33,90.24,62.16,14.0,1,6,74
Canada Vs United States of America,United States of America,2,Monank Patel,16,16,2,0,100.0,out,T20I # 2632,33.0,122.22,63.64,27.0,2,2,66
Canada Vs United States of America,United States of America,3,Andries Gous,65,46,7,3,141.3,out,T20I # 2632,43.8,151.03,66.67,24.0,2,6,219
Canada Vs United States of America,United States of America,4,Aaron Jones,94,40,4,10,235.0,not out,T20I # 2632,40.5,135.0,71.6,20.0,4,6,162
Canada Vs United States of America,United States of America,5,Corey Anderson,3,5,0,0,60.0,not out,T20I # 2632,16.5,91.67,33.33,14.0,5,5,66
Scotland Vs England,Scotland,1,George Munsey,41,31,4,2,132.25,not out,T20I # 2637,41.33,139.33,69.35,22.0,1,4,124
Scotland Vs England,Scotland,2,Michael Jones,45,30,4,2,150.0,not out,T20I # 2637,29.67,134.85,69.66,16.0,2,4,89
